State,Abbreviation,PassageDate,LawEffectiveDate,RDateSyntax,Enforcement_Date,government_id,digitized_id,transaction_data,database_id,any_reasonable_method
Alabama,AL,4/24/2024,10/1/2024,"make_date(2024, 10, 1)",,0,0,0,0,1
Arkansas,AR,4/11/2023,7/31/2023,"make_date(2023, 7, 31)",,1,1,0,0,1
Florida,FL,3/25/2024,1/1/2025,"make_date(2025, 1, 1)",,0,0,0,0,1
Georgia,GA,4/23/2024,7/1/2025,"make_date(2025, 7, 1)",,1,1,0,0,1
Idaho,ID,3/14/2024,7/1/2024,"make_date(2024, 7, 1)",,1,1,1,0,0
Indiana,IN,3/13/2024,8/16/2024,"make_date(2024, 7, 1)",,0,1,1,1,0
Kansas,KS,4/25/2024,7/1/2024,"make_date(2024, 7, 1)",,0,0,0,1,1
Kentucky,KY,4/5/2024,7/15/2024,"make_date(2024, 7, 15)",,1,0,1,0,0
Louisiana,LA,6/14/2022,1/1/2023," ""make_date(2023",1,1,1,1,0,0
Mississippi,MS,3/30/2023,7/1/2023,"make_date(2023, 7, 1)",,1,1,1,0,0
Montana,MT,5/18/2023,1/1/2024,"make_date(2024, 1, 1)",,1,1,1,0,0
Nebraska,NE,4/18/2024,7/18/2024,"make_date(2024, 7, 18)",,1,1,1,0,0
North Carolina,NC,9/29/2023,1/1/2024,"make_date(2024, 1, 1)",,0,0,0,1,1
Oklahoma,OK,4/26/2024,11/1/2024,"make_date(2024, 10, 1)",,0,1,1,1,0
South Carolina,SC,5/21/2024,1/1/2025,"make_date(2025, 1, 1)",,0,1,1,1,0
Tennessee,TN,5/28/2024,1/1/2025,"make_date(2025, 1, 1)",,1,0,1,0,0
Texas,TX,6/12/2023,9/23/2023,"make_date(2024, 1, 1)",2/26/2024,1,1,1,0,0
Utah,UT,3/14/2023,5/3/2023,"make_date(2023, 5, 3)",,0,1,1,1,0
Virginia,VA,5/12/2023,7/1/2023,"make_date(2023, 7, 1)",,0,0,0,1,1
